ЄДРПОУ;Скорочена назва;Повна назва;Дата створення;Доступ;Підключена до НПА
040584100;ЦНАП Зборівської міської ради;Центр надання адміністративних послуг Зборівської міської ради;24.09.2021;ПК ЦНАП (Вулик);Ні
043635380;ЦНАП Золочівської сільської ради;Центр надання адміністративних послуг Золочівської сільської ради;24.09.2021;ПК ЦНАП (Вулик);Ні
04385830;ЦНАП Здовбицької сільської ради;Центр надання адміністративних послуг виконавчого комітету Здовбицької сільської ради;24.09.2021;ПК ЦНАП (Вулик);Ні
040552220;ЦНАП Долинської міської ради;Центр надання адміністративних послуг Долинської міської ради;23.09.2021;ПК ЦНАП (Вулик);Ні
04055943;Виконком Стрийської міської ради;Виконавчий комітет Стрийської міської ради;23.09.2021;Веб-доступ;Ні
04351280;Тур'є-Реметівська сільська рада Ужгородськиго району;Тур'є-Реметівська сільська рада Ужгородськиго району;23.09.2021;Веб-доступ;Ні
04359732;Володарська седищна рада;Володарська седищна рада;23.09.2021;Веб-доступ;Ні
044102780;ЦНАП виконавчого комітету Бабанської селищної ради;Центр надання адміністративних послуг виконавчого комітету Бабанської селищної ради;23.09.2021;ПК ЦНАП (Вулик);Ні
439328490;ЦНАП виконавчого комітету Вільшанської селищної ради;Центр надання адміністративних послуг виконавчого комітету Вільшанської селищної ради;23.09.2021;ПК ЦНАП (Вулик);Ні
043538010;ЦНАП виконавчого комітету Олександрівської сільської ради;Центр надання адміністративних послуг виконавчого комітету Олександрівської сільської ради Запорізької області;22.09.2021;ПК ЦНАП (Вулик);Ні
224462060;ЦНАП Раухівської селищної ради;Центр надання адміністративних послуг Раухівської селищної ради Березівського району Одеської області;22.09.2021;ПК ЦНАП (Вулик);Ні
252167350;ЦНАП Більмацької селищної ради;Центр надання адміністративних послуг апарату Більмацької селищної ради;22.09.2021;ПК ЦНАП (Вулик);Ні
040553730;ЦНАП Маловисківської міської ради;Центр надання адміністративних послуг Маловисківської міської ради;21.09.2021;ПК ЦНАП (Вулик);Ні
043542490;ЦНАП Кутської селищної ради;Центр надання адміністративних послуг Кутської селищної ради Косівського району Івано-Франківської області;21.09.2021;ПК ЦНАП (Вулик);Ні
043658100;ЦНАП виконавчого комітету Піщанобрідської сільської ради;Центр надання адміністративних послуг виконавчого комітету Піщанобрідської сільської ради;21.09.2021;ПК ЦНАП (Вулик);Ні
043750330;ЦНАП Мостівської сільської ради;Відділ Центр надання адміністративних послуг Мостівської сільської ради;21.09.2021;ПК ЦНАП (Вулик);Ні
053910050;ЦНАП виконавчого комітету Острозької міської ради;Центр надання адміністративних послуг виконавчого комітету Острозької міської ради;21.09.2021;ПК ЦНАП (Вулик);Ні
421438290;ЦНАП Терешківської сільської ради;Центр надання адміністративних послуг Терешківської сільської ради Полтавського району Полтавської області;21.09.2021;ПК ЦНАП (Вулик);Ні
043790310;ЦНАП Петровірівської сільської ради;Центр надання адміністративних послуг Петровірівської сільської ради;20.09.2021;ПК ЦНАП (Вулик);Ні
040569540;ЦНАП Балтської міської ради Одеської області;Центр надання адміністративних послуг Балтської міської ради Одеської області;17.09.2021;ПК ЦНАП (Вулик);Ні
043645490;ЦНАП Устинівської селищної ради;Центр надання адміністративних послуг Устинівської селищної ради;17.09.2021;ПК ЦНАП (Вулик);Ні
043766240;ЦНАП Березанської селищної ради;Центр надання адміністративних послуг Березанської селищної ради;17.09.2021;ПК ЦНАП (Вулик);Ні
249120880;ЦНАП Василівської міської ради;Центр надання адміністративних послуг Василівської міської ради Запорізької області;17.09.2021;ПК ЦНАП (Вулик);Ні
25216735;Більмацька селищна рада Більмацького району Запорізької області;Більмацька селищна рада Більмацького району Запорізької області;17.09.2021;Веб-доступ;Ні
264806700;ЦНАП виконавчого комітету Миколаївської міської ради Слов’янського району;Центр надання адміністративних послуг виконавчого комітету Миколаївської міської ради Слов’янського району Донецької області;17.09.2021;ПК ЦНАП (Вулик);Ні
043547810;ЦНАП Букачівської селищної ради;Центр надання адміністративних послуг виконавчого комітету Букачівської селищної ради;16.09.2021;ПК ЦНАП (Вулик);Ні
043775810;ЦНАП Піщанської сільської ради Одеської області;Центр надання адміністративних послуг Піщанської сільської ради Одеської області;16.09.2021;ПК ЦНАП (Вулик);Ні
043878230;ЦНАП Березнівської міської ради;Центр надання адміністративних послуг Березнівської міської ради Рівненського району Рівненської області;15.09.2021;ПК ЦНАП (Вулик);Ні
440190940;ЦНАП Гірської міської ВЦА;Центр надання адміністративних послуг Гірської міської військово-цивільної адміністрації Сєвєродонецького району Луганської області;15.09.2021;ПК ЦНАП (Вулик);Ні
0291110221;Хмельницька окружна прокуратура;Хмельницька окружна прокуратура;14.09.2021;Megapolis.DocNet;Ні
0291110222;Волочиська окружна прокуратура;Волочиська окружна прокуратура;14.09.2021;Megapolis.DocNet;Ні
0291110223;Кам'янець-Подільська окружна прокуратура;Кам'янець-Подільська окружна прокуратура;14.09.2021;Megapolis.DocNet;Ні
0291110224;Летичівська окружна прокуратура;Летичівська окружна прокуратура;14.09.2021;Megapolis.DocNet;Ні
0291110225;Шепетівська окружна прокуратура;Шепетівська окружна прокуратура;14.09.2021;Megapolis.DocNet;Ні
0291110226;Окружна прокуратура міста Хмельницького;Окружна прокуратура міста Хмельницького;14.09.2021;Megapolis.DocNet;Ні
04053001;СВЯТОГІРСЬКА МІСЬКА РАДА;СВЯТОГІРСЬКА МІСЬКА РАДА;14.09.2021;Веб-доступ;Ні
043722820;ЦНАП Зимноводівської сільської ради;Центр надання адміністративних послуг Зимноводівської сільської ради Львівського району Львівської області;14.09.2021;ПК ЦНАП (Вулик);Ні
04374128;Добротвірська селищна рада;Добротвірська селищна рада Львівської області;14.09.2021;Веб-доступ;Ні
04377888;Усатівська сільська рада;Усатівська сільська рада;14.09.2021;Веб-доступ;Ні
44168316;БЕБ України;Бюро економічної безпеки України;14.09.2021;Веб-доступ;Ні
044088090;ЦНАП виконавчого комітету Мошнівської сільської ради;Центр надання адміністративних послуг виконавчого комітету Мошнівської сільської ради;13.09.2021;ПК ЦНАП (Вулик);Ні
044109820;ЦНАП виконавчого комітету Лисянської селищної ради;Центр надання адміністративних послуг виконавчого комітету Лисянської селищної ради Черкаської області;13.09.2021;ПК ЦНАП (Вулик);Ні
04417091;Карапчівська ТГ;КАРАПЧІВСЬКА С/р;13.09.2021;Веб-доступ;Ні
44096289;Виконавчий комітет Ратнівської селищної ради;Виконавчий комітет Ратнівської селищної ради;13.09.2021;Веб-доступ;Ні
044117280;ЦНАП виконавчого комітету Селищенської сільської ради;Центр надання адміністративних послуг виконавчого комітету Селищенської сільської ради;10.09.2021;ПК ЦНАП (Вулик);Ні
264250270;ЦНАП виконавчого комітету Мокрокалигірської сільської ради;Центр надання адміністативних послуг виконавчого комітету Мокрокалигірської сільської ради Катеринопільського району Черкаської області;10.09.2021;ПК ЦНАП (Вулик);Ні
